City,Latitude,Temperature,Humidity,WindSpeed,Cloudiness
belaya gora,68.54,14.15,35,3.3,100
ushuaia,-54.81,1,64,3.1,20
atyrau,47.1,35,16,7,0
hilo,19.71,22.61,73,2.6,90
kavieng,-2.57,28.25,75,6.05,2
san matias,-16.36,37.75,21,4.28,0
cherskiy,68.75,13.05,68,3.95,100
mataura,-46.19,0.05,90,2.47,100
yellowknife,62.45,10,93,5.7,90
nagato,34.35,26.18,88,1.5,75
oranjemund,-28.55,14.45,92,6.68,0
new norfolk,-42.78,8.13,66,1.5,75
hermanus,-34.42,17.78,81,5.36,15
wasilla,61.58,11.85,37,11.3,1
palmer,-34.85,7.51,66,8.2,20
punta arenas,-53.16,-4,92,2.1,20
cockburn town,21.46,28.35,76,7.05,72
vaini,15.34,25.02,83,3.1,75
saint-augustin,45.63,22.47,83,1.5,75
henties bay,-22.12,17.35,68,6.33,0
kamenka,48.03,26.67,37,1.34,0
misratah,32.38,27.05,67,6.99,0
saskylakh,71.97,11.55,55,3.25,0
busselton,-33.64,8.33,65,1.72,100
tuktoyaktuk,69.44,1,96,9.3,90
rikitea,-23.12,20.85,72,6.65,100
zabol,31.03,39,10,11.8,0
leningradskiy,69.38,8.05,72,1.63,100
chirongui,-12.93,27,74,7.2,40
butaritari,3.07,29.25,67,3.25,4
puerto ayora,-0.74,19.45,77,1.5,90
dikson,73.51,4.75,96,7.41,100
mubi,10.27,27.15,75,1.67,98
port elizabeth,39.31,27.32,83,2.1,40
verkhnevilyuysk,63.45,11.25,95,3.12,100
upernavik,72.79,4.25,60,1.85,0
provideniya,64.42,9.95,54,0.38,100
qingdao,36.09,23,73,2,0
konch,26,28.65,77,4.73,91
ponta do sol,-20.63,27.25,33,1.6,0
lebu,8.96,20,60,2.6,20
severo-kurilsk,50.68,10.05,86,1.12,72
pisco,-13.71,18.42,30,3.1,90
pangnirtung,66.15,6.85,58,1.19,100
te anau,-45.41,2.25,79,2.12,68
lompoc,34.64,14.97,93,0.3,90
pandan,11.72,28.45,80,6.28,0
cape town,-33.93,18.33,72,0.89,42
nikolskoye,59.7,21.89,43,5,40
albany,42.65,20.85,83,1.92,20
carnarvon,-30.97,25.05,14,9.65,33
talnakh,69.49,14,100,3,75
hithadhoo,-0.6,29.15,69,3.96,97
aswan,24.09,42,15,3.6,0
jalu,29.03,35.85,13,6.07,0
hualmay,-11.1,14.85,89,4.47,95
warri,5.52,29.05,64,6.6,47
puerto del rosario,28.5,29.84,65,6.2,0
katsuura,33.93,26.5,88,6.2,20
tasiilaq,65.61,10,61,4.1,4
shingu,33.72,20.75,93,1.01,38
beloha,-25.17,18.45,70,6.43,49
georgetown,6.8,24.46,94,2.1,90
